Group,Lower Age,Upper Age,Nutrient No.,Value,Upper Limit
Females,14,18,435,400,800
Females,19,30,435,400,1000
Females,31,50,435,400,1000
Females,51,70,435,400,1000
Females,71,120,435,400,1000
Pregnancy,14,18,435,600,800
Pregnancy,19,30,435,600,1000
Pregnancy,31,50,435,600,1000
Lactation,14,18,435,500,800
Lactation,19,30,435,500,1000
Lactation,31,50,435,500,1000
Infants,0,0.5,418,0.4,
Infants,0.5,1,418,0.5,
Children,1,3,418,0.9,
Children,4,8,418,1.2,
Males,9,13,418,1.8,
Males,14,18,418,2.4,
Males,19,30,418,2.4,
Males,31,50,418,2.4,
Males,51,70,418,2.4,
Males,71,120,418,2.4,
Females,9,13,418,1.8,
Females,14,18,418,2.4,
Females,19,30,418,2.4,
Females,31,50,418,2.4,
Females,51,70,418,2.4,
Females,71,120,418,2.4,
Pregnancy,14,18,418,2.6,
Pregnancy,19,30,418,2.6,
Pregnancy,31,50,418,2.6,
Lactation,14,18,418,2.8,
Lactation,19,30,418,2.8,
Lactation,31,50,418,2.8,
Infants,0,0.5,410,1.7,
Infants,0.5,1,410,1.8,
Children,1,3,410,2,
Children,4,8,410,3,
Males,9,13,410,4,
Males,14,18,410,5,
Males,19,30,410,5,
Males,31,50,410,5,
Males,51,70,410,5,
Males,71,120,410,5,
Females,9,13,410,4,
Females,14,18,410,5,
Females,19,30,410,5,
Females,31,50,410,5,
Females,51,70,410,5,
Females,71,120,410,5,
Pregnancy,14,18,410,6,
Pregnancy,19,30,410,6,
Pregnancy,31,50,410,6,
Lactation,14,18,410,7,
Lactation,19,30,410,7,
Lactation,31,50,410,7,
Infants,0,0.5,421,,
Infants,0.5,1,421,,
Children,1,3,421,1,
Children,4,8,421,1,
Males,9,13,421,2,
Males,14,18,421,3,
Males,19,30,421,3.5,
Males,31,50,421,3.5,
Males,51,70,421,3.5,
Males,71,120,421,3.5,
Females,9,13,421,2,
Females,14,18,421,3,
Females,19,30,421,3.5,
Females,31,50,421,3.5,
Females,51,70,421,3.5,
Females,71,120,421,3.5,
Pregnancy,14,18,421,3,
Pregnancy,19,30,421,3.5,
Pregnancy,31,50,421,3.5,
Lactation,14,18,421,3,
Lactation,19,30,421,3.5,
Lactation,31,50,421,3.5,
Infants,0,0.5,312,0.2,
Infants,0.5,1,312,0.22,
Children,1,3,312,0.34,
Children,4,8,312,0.44,
Males,9,13,312,0.7,
Males,14,18,312,0.89,
Males,19,30,312,0.9,
Males,31,50,312,0.9,
Males,51,70,312,0.9,
Males,71,120,312,0.9,
Females,9,13,312,0.7,
Females,14,18,312,0.89,
Females,19,30,312,0.9,
Females,31,50,312,0.9,
Females,51,70,312,0.9,
Females,71,120,312,0.9,
Pregnancy,14,18,312,1,
Pregnancy,19,30,312,1,
Pregnancy,31,50,312,1,
Lactation,14,18,312,1.3,
Lactation,19,30,312,1.3,
Lactation,31,50,312,1.3,
Infants,0,0.5,313,10,700
Infants,0.5,1,313,500,900
Children,1,3,313,700,1300
Children,4,8,313,1000,2200
Males,9,13,313,2000,10000
Males,14,18,313,3000,10000
Males,19,30,313,4000,10000
Males,31,50,313,4000,10000
Males,51,70,313,4000,10000
Males,71,120,313,4000,10000
Females,9,13,313,2000,10000
Females,14,18,313,3000,10000
Females,19,30,313,3000,10000
Females,31,50,313,3000,10000
Females,51,70,313,3000,10000
Females,71,120,313,3000,10000
Pregnancy,14,18,313,3000,10000
Pregnancy,19,30,313,3000,10000
Pregnancy,31,50,313,3000,10000
Lactation,14,18,313,3000,10000
Lactation,19,30,313,3000,10000
Lactation,31,50,313,3000,10000
Infants,0,0.5,303,0.27,40
Infants,0.5,1,303,11,40
Children,1,3,303,7,40
Children,4,8,303,10,40
Males,9,13,303,8,40
Males,14,18,303,11,45
Males,19,30,303,8,45
Males,31,50,303,8,45
Males,51,70,303,8,45
Males,71,120,303,8,45
Females,9,13,303,8,40
Females,14,18,303,15,45
Females,19,30,303,18,45
Females,31,50,303,18,45
Females,51,70,303,8,45
Females,71,120,303,8,45
Pregnancy,14,18,303,27,45
Pregnancy,19,30,303,27,45
